method,family,horizon,policy,resolved_policy,threshold,cal_recall,cal_ppv,cal_fa_per_hour,recall,ppv,fa_per_hour,events_detected,events_eligible,auroc,average_precision,ece,gates_met,gates_total,failed_gates,recall_ci_low,recall_ci_high,ppv_ci_low,ppv_ci_high,fa_ci_low,fa_ci_high
tabm_20260917,tabm,300,recall_first,recall_first,0.034395934715867,0.6307692307692307,0.1078947368421052,2.633350595546349,0.6956521739130435,0.1118881118881118,2.2157603954637977,16,23,0.8654673195656802,0.2160568653548358,0.0066506555554649,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.4375,0.8751838235294118,0.0479055157398167,0.1906162464985994,1.375240989982766,3.166662856284693
tabm_20260917,tabm,300,fa_budget,max_recall_within_fa_budget,0.1698143678903579,0.2307692307692307,0.238095238095238,0.3728638011393061,0.2608695652173913,0.4,0.1570223902297179,6,23,0.8654673195656802,0.2160568653548358,0.0066506555554649,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.0570300751879699,0.5217908902691512,0.1424107142857142,0.6666666666666666,0.0503269659970563,0.318128799951771
tabm_20260918,tabm,300,recall_first,recall_first,0.0360690243542194,0.6153846153846154,0.1081081081081081,2.563438632832729,0.6956521739130435,0.1194029850746268,2.05873800523408,16,23,0.8645474061457669,0.2010524763451356,0.0064735986131166,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.4375,0.8751838235294118,0.0546965737514518,0.19811738385377,1.270821838070434,2.820482010146072
tabm_20260918,tabm,300,fa_budget,max_recall_within_fa_budget,0.1538126505911349,0.2615384615384615,0.2151898734177215,0.4816157431382704,0.3043478260869565,0.3888888888888889,0.1919162547252108,7,23,0.8645474061457669,0.2010524763451356,0.0064735986131166,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.0624080882352941,0.6128787878787884,0.2,0.6,0.0495912739622217,0.4248626676746254
tabm_20260919,tabm,300,recall_first,recall_first,0.0368005694448947,0.6153846153846154,0.108695652173913,2.547902641118592,0.7391304347826086,0.1317829457364341,1.954056411747601,17,23,0.878136753956426,0.2245863969272654,0.0067729322813069,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5,0.9049689440993788,0.0579734474434935,0.2233575443463026,1.2010509220908314,2.714170403920004
tabm_20260919,tabm,300,fa_budget,max_recall_within_fa_budget,0.1587227694690227,0.2615384615384615,0.2297297297297297,0.442775763852926,0.2608695652173913,0.4,0.1570223902297179,6,23,0.878136753956426,0.2245863969272654,0.0067729322813069,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.0570300751879699,0.5217908902691512,0.1814393939393939,0.6,0.0600119324556455,0.3010514431030011
ensemble_diverse,ensemble,300,recall_first,recall_first,0.0667401033238077,0.6461538461538462,0.1728395061728395,1.5613671672708442,0.6521739130434783,0.2142857142857142,0.959581273626054,15,23,0.8833785749769356,0.2338510495688004,0.0053270978162563,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.3570378151260504,0.90487012987013,0.1033620689655172,0.3334507042253521,0.4909259416776535,1.421199311924642
ensemble_diverse,ensemble,300,fa_budget,max_recall_within_fa_budget,0.1371613403046044,0.3076923076923077,0.2531645569620253,0.4583117555670637,0.391304347826087,0.391304347826087,0.2442570514684501,9,23,0.8833785749769356,0.2338510495688004,0.0053270978162563,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1176470588235294,0.7619047619047619,0.2,0.5559523809523811,0.0727501219255587,0.5005010317437886
map_logistic,baseline,600,recall_first,recall_first,0.099274462846135,0.7534246575342466,0.2226148409893993,1.7973856209150323,0.9166666666666666,0.2842105263157894,1.2598425196850394,22,24,0.8039635840606715,0.2223539141652024,0.0275564773063262,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7331818181818182,1.0,0.1624697580645161,0.4430444995432598,0.81322667453714,1.774355519229495
map_logistic,baseline,600,fa_budget,max_recall_within_fa_budget,0.1436144515894317,0.136986301369863,0.1587301587301587,0.4330065359477124,0.25,0.2727272727272727,0.2964335340435386,6,24,0.8039635840606715,0.2223539141652024,0.0275564773063262,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0909090909090909,0.4403636363636364,0.124875,0.4707800511508951,0.1232454638822321,0.4863255031361784
