method,horizon,policy,resolved_policy,threshold,cal_recall,cal_fa_per_hour,recall,ppv,fa_per_hour,events_detected,events_eligible,auroc,average_precision,ece,gates_met,gates_total,failed_gates,recall_ci_low,recall_ci_high,ppv_ci_low,ppv_ci_high,fa_ci_low,fa_ci_high,family,description
ensemble_diverse_6,300,fa_budget,max_recall_within_fa_budget,0.13716134030460442,0.3076923076923077,0.45831175556706377,0.391304347826087,0.391304347826087,0.24425705146845011,9,23,0.8833785749769356,0.2338510495688004,0.0053270978162563215,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.11764705882352941,0.7619047619047619,0.2,0.5559523809523811,0.07275012192555876,0.5005010317437886,ensemble,Trung bình xác suất đã calibrate của 6 thành viên đa dạng
map_logistic,600,recall_first,recall_first,0.099274462846135,0.7534246575342466,1.7973856209150325,0.9166666666666666,0.28421052631578947,1.2598425196850394,22,24,0.8039635840606715,0.2223539141652024,0.027556477306326262,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7331818181818182,1.0,0.16246975806451613,0.4430444995432598,0.81322667453714,1.774355519229495,baseline,Hồi quy logistic trên 3 đặc trưng MAP
map_logistic,600,fa_budget,max_recall_within_fa_budget,0.14361445158943173,0.136986301369863,0.4330065359477124,0.25,0.2727272727272727,0.29643353404353867,6,24,0.8039635840606715,0.2223539141652024,0.027556477306326262,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.09090909090909091,0.44036363636363646,0.124875,0.47078005115089516,0.12324546388223212,0.4863255031361784,baseline,Hồi quy logistic trên 3 đặc trưng MAP
lgbm_plain,600,recall_first,recall_first,0.06553001985089596,0.726027397260274,2.8267973856209148,0.875,0.17307692307692307,2.3899953682260304,21,24,0.8228095409325182,0.1875018869071461,0.00879738308472865,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7,1.0,0.10599529780564264,0.2825245365321702,1.66102561253145,3.3619099318741354,lightgbm,"LightGBM, không cân bằng lớp, không augment"
lgbm_plain,600,fa_budget,max_recall_within_fa_budget,0.19381357403217736,0.273972602739726,0.4330065359477124,0.375,0.37037037037037035,0.31496062992125984,9,24,0.8228095409325182,0.1875018869071461,0.00879738308472865,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.09906250000000003,0.6844129554655871,0.22166666666666668,0.5575757575757581,0.07047887691678616,0.6817685550218064,lightgbm,"LightGBM, không cân bằng lớp, không augment"
lgbm_class_weight,600,recall_first,recall_first,0.06824326129462435,0.684931506849315,2.9738562091503264,0.8333333333333334,0.16265060240963855,2.5752663270032423,20,24,0.8249485142689026,0.19764603164384248,0.010725431447122109,1,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6206486042692939,0.9678341013824885,0.09184267241379311,0.2681564645308925,1.8079580209802788,3.47002749874278,lightgbm,LightGBM + class_weight='balanced'
lgbm_class_weight,600,fa_budget,max_recall_within_fa_budget,0.1858974358974359,0.2191780821917808,0.4656862745098039,0.3333333333333333,0.47368421052631576,0.18527095877721167,8,24,0.8249485142689026,0.19764603164384248,0.010725431447122109,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.11678921568627453,0.5789473684210527,0.25,0.6,0.05688330180399262,0.3611051727647295,lightgbm,LightGBM + class_weight='balanced'
lgbm_scale_pos_20x,600,recall_first,recall_first,0.05982478193683271,0.6438356164383562,3.5130718954248366,0.875,0.14358974358974358,3.094025011579435,21,24,0.8058110773321129,0.21773156324405873,0.007850044639671934,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6869791666666667,1.0,0.07211082474226804,0.23469767385860144,2.1420248802709962,4.106300724482097,lightgbm,LightGBM + scale_pos_weight = 20x tỷ lệ lớp
lgbm_scale_pos_20x,600,fa_budget,max_recall_within_fa_budget,0.1375740723032178,0.2876712328767123,0.49019607843137253,0.3333333333333333,0.36,0.29643353404353867,8,24,0.8058110773321129,0.21773156324405873,0.007850044639671934,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.11678921568627453,0.5789473684210527,0.2,0.5,0.1081032590708774,0.5500910568215287,lightgbm,LightGBM + scale_pos_weight = 20x tỷ lệ lớp
lgbm_oversample_3x,600,recall_first,recall_first,0.0628393711521798,0.7123287671232876,3.1372549019607843,0.9166666666666666,0.1744186046511628,2.6308476146364055,22,24,0.8336313512688918,0.20477134231707866,0.01216365143175715,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7331818181818182,1.0,0.10519181991122384,0.2801005917159764,1.8112654160652386,3.540967669684235,lightgbm,LightGBM + nhân bản window dương 3x
lgbm_oversample_3x,600,fa_budget,max_recall_within_fa_budget,0.1858974358974359,0.2876712328767123,0.4983660130718954,0.4166666666666667,0.3793103448275862,0.333487725798981,10,24,0.8336313512688918,0.20477134231707866,0.01216365143175715,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.1748366013071896,0.7202692307692308,0.2380252100840336,0.5794736842105265,0.0950069967658726,0.6842876450569166,lightgbm,LightGBM + nhân bản window dương 3x
lgbm_smote_3x,600,recall_first,recall_first,0.08538461538461538,0.6986301369863014,2.1895424836601305,0.75,0.2,1.778601204261232,18,24,0.8172730541662581,0.18043552884800618,0.006770404608511039,1,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.5451515151515152,0.9047619047619048,0.11604320607553367,0.30296650510645673,1.1895080137587823,2.570802645991704,lightgbm,"LightGBM + SMOTE nội suy 5 láng giềng, 3x"
